NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Ormond Beach FL,2055.0,41475.0,20564.0,8062.0,6139.0,1924.0,2747.0,445.0,1260.0,334.0,8768.0,3641.0,2051.0,915.0,494.0,1668.0,17678.0,16.7,1061.0,0.79,,0.94,3645.0,58.3,62.0,0.99,0.95,1.04,,19.2,10.1,,26.4,56.7,21.8,,9.2,0.89,44.1,10.5,5.0,2.8,2.2,5.5,10.6,29.6,,13.7,1.0,,26.4,18.6,45.3,15.2,31.6,7.9,2691.0,2359.0,332.0,85.3,87.6,86.0,81.1
Owensboro KY,861.0,36768.0,19425.0,6471.0,5822.0,1368.0,1463.0,721.0,1240.0,,,2583.0,1593.0,671.0,486.0,,17128.0,17.4,986.0,0.77,0.89,0.87,2585.0,55.1,47.0,0.7,0.9,0.78,47.6,10.7,5.6,5.1,,,,7.8,7.3,1.07,41.2,9.9,2.6,1.5,1.1,7.3,13.9,26.6,12.8,11.8,1.08,3.9,31.7,15.2,22.0,10.7,17.2,6.2,2462.0,2125.0,,84.5,85.9,82.0,83.9
,,39346.0,21417.0,6180.0,4275.0,3469.0,1834.0,332.0,1668.0,171.0,6778.0,2761.0,1491.0,583.0,349.0,1595.0,18792.0,24.9,755.0,0.85,1.27,0.67,2839.0,59.4,48.0,0.77,0.97,,68.2,12.1,,5.7,56.1,49.3,18.7,6.8,7.9,0.86,,14.3,3.1,1.8,1.3,11.2,8.6,29.2,12.8,13.9,,10.1,44.7,21.0,20.3,10.7,19.1,6.1,2375.0,1896.0,479.0,81.8,84.5,76.0,81.3
Paducah KY,2767.0,37611.0,19657.0,,6031.0,2306.0,1203.0,542.0,,202.0,7315.0,2682.0,1593.0,572.0,393.0,2075.0,17258.0,18.5,933.0,0.78,0.94,0.82,,54.2,,0.74,0.88,0.84,50.7,9.4,6.4,3.0,,70.0,18.6,6.0,8.3,0.72,43.6,,2.2,1.7,0.6,8.5,12.8,,9.5,14.1,,8.2,34.6,18.2,22.4,8.6,16.6,5.7,2366.0,2039.0,328.0,88.0,91.2,86.6,83.8
,1269.0,56997.0,32308.0,10566.0,,1888.0,3544.0,679.0,1372.0,,12379.0,4385.0,,1523.0,661.0,3300.0,28533.0,19.5,,1.28,1.0,,,70.0,63.0,1.2,1.14,1.05,53.5,26.2,11.1,15.2,27.2,,26.0,11.9,8.6,1.39,52.2,12.2,6.2,2.8,3.4,5.9,,35.1,19.7,12.5,1.57,,29.8,,40.8,15.7,30.9,7.7,3643.0,3280.0,,82.8,90.5,88.4,66.2
Panama City FL,1137.0,44535.0,21975.0,7422.0,6951.0,,3878.0,167.0,1671.0,193.0,8869.0,3548.0,,,416.0,1940.0,18799.0,17.7,1065.0,0.85,0.9,,,60.1,60.0,0.99,0.98,,,11.4,7.9,,37.0,53.3,,,7.9,1.21,43.1,10.6,2.9,2.0,0.9,7.7,9.5,29.0,15.0,11.4,1.32,8.1,26.3,14.7,43.7,20.5,26.6,7.0,2985.0,2517.0,468.0,82.5,90.0,80.2,71.3
,1749.0,59313.0,36768.0,7467.0,8594.0,2376.0,1873.0,967.0,901.0,368.0,12365.0,6047.0,2352.0,956.0,636.0,2375.0,31562.0,27.9,1130.0,1.42,1.43,1.0,6047.0,89.4,68.0,1.65,,1.13,,,,9.4,56.7,65.0,30.8,14.5,11.5,1.26,67.5,17.0,,,2.1,12.1,12.6,48.2,28.3,17.2,1.65,6.7,39.9,23.7,,8.2,42.0,9.2,3483.0,3244.0,238.0,88.7,92.8,87.5,82.7
Pensacola FL,3805.0,41898.0,21576.0,7095.0,4566.0,1736.0,4566.0,,1534.0,224.0,8526.0,3315.0,2098.0,723.0,377.0,2014.0,18707.0,18.6,1007.0,0.84,0.95,0.89,3355.0,55.6,60.0,0.91,,1.01,50.9,14.5,9.8,,36.3,51.2,20.5,8.8,7.3,1.21,46.7,11.1,,2.6,1.0,,9.6,27.3,14.0,10.8,1.29,5.3,31.0,20.0,43.5,21.0,27.7,7.1,2859.0,2428.0,431.0,83.8,89.3,83.8,74.6
Peoria IL,4389.0,38160.0,20686.0,7142.0,5582.0,1449.0,1418.0,,1194.0,156.0,7520.0,2572.0,1720.0,545.0,363.0,2320.0,,17.6,1039.0,0.82,0.9,0.92,2627.0,50.0,53.0,0.72,0.82,0.88,48.3,,7.1,2.1,,60.3,17.4,6.1,7.2,0.85,,10.7,2.5,1.9,0.6,8.2,11.8,24.2,10.3,11.8,,,32.8,17.5,23.9,9.2,20.6,6.5,2286.0,1974.0,311.0,89.7,94.1,87.7,83.7
,,35329.0,18145.0,6504.0,4144.0,2152.0,2632.0,633.0,998.0,121.0,6548.0,2371.0,1581.0,531.0,312.0,1752.0,16045.0,13.3,1203.0,,0.68,1.06,2536.0,,56.0,0.69,0.73,0.94,36.6,9.2,4.2,5.1,27.3,38.1,16.8,4.5,8.4,0.54,31.8,7.5,2.0,1.0,,5.5,6.5,20.2,6.3,12.1,0.52,6.0,24.4,,36.5,15.8,17.8,6.0,,1791.0,263.0,87.5,93.0,87.1,
